iter	Passed	Remaining
0	247	246803
1	517	258424
2	937	311616
3	1195	297649
4	1364	271542
5	1449	240169
6	1572	223063
7	1732	214870
8	1841	202796
9	1938	191909
10	2018	181504
11	2101	173052
12	2218	168464
13	2302	162147
14	2382	156480
15	2442	150198
16	2490	143996
17	2554	139388
18	2638	136228
19	2693	131970
20	2749	128159
21	2829	125803
22	2959	125710
23	3066	124710
24	3115	121490
25	3185	119347
26	3246	117003
27	3412	118464
28	3535	118382
29	3599	116384
30	3668	114656
31	3752	113511
32	3830	112243
33	3896	110695
34	3964	109296
35	4043	108288
36	4129	107480
37	4271	108138
38	4390	108175
39	4438	106518
40	4490	105028
41	4551	103809
42	4603	102458
43	4652	101096
44	4714	100061
45	4809	99735
46	4866	98674
47	4916	97510
48	4970	96467
49	5032	95625
50	5078	94500
51	5129	93514
52	5175	92470
53	5243	91866
54	5292	90934
55	5343	90075
56	5416	89612
57	5481	89034
58	5558	88658
59	5610	87893
60	5668	87258
61	5750	86998
62	5810	86416
63	5861	85730
64	5915	85092
65	5981	84645
66	6044	84165
67	6096	83561
68	6155	83054
69	6326	84047
70	6406	83820
71	6464	83319
72	6525	82869
73	6609	82711
74	6734	83063
75	6785	82495
76	6834	81927
77	6894	81491
78	6945	80970
79	6999	80498
80	7051	80005
81	7119	79699
82	7172	79245
83	7220	78740
84	7273	78302
85	7340	78010
86	7389	77549
87	7435	77063
88	7488	76649
89	7559	76437
90	7613	76048
91	7657	75580
92	7716	75260
93	7773	74920
94	7832	74618
95	7900	74394
96	7973	74229
97	8061	74198
98	8108	73799
99	8160	73443
100	8213	73111
101	8259	72714
102	8322	72476
103	8379	72190
104	8429	71848
105	8487	71581
106	8552	71375
107	8604	71063
108	8661	70799
109	8717	70530
110	8770	70244
111	8828	69997
112	8877	69681
113	8925	69366
114	8991	69193
115	9045	68936
116	9094	68638
117	9143	68341
118	9204	68142
119	9272	67996
120	9321	67712
121	9378	67493
122	9461	67464
123	9669	68307
124	9721	68048
125	9777	67818
126	9827	67551
127	9930	67650
128	9999	67514
129	10054	67286
130	10104	67030
131	10165	66848
132	10223	66644
133	10273	66393
134	10323	66145
135	10375	65914
136	10438	65757
137	10492	65540
138	10544	65314
139	10600	65118
140	10666	64983
141	10713	64732
142	10758	64477
143	10808	64252
144	10889	64211
145	10942	64003
146	10993	63792
147	11050	63616
148	11110	63456
149	11161	63245
150	11207	63013
151	11254	62785
152	11307	62598
153	11367	62448
154	11417	62241
155	11463	62018
156	11515	61833
157	11577	61697
158	11625	61491
159	11673	61285
160	11720	61078
161	11777	60923
162	11831	60755
163	11875	60536
164	11927	60358
165	11974	60159
166	12029	60005
167	12090	59874
168	12134	59665
169	12180	59470
170	12227	59279
171	12285	59140
172	12342	59000
173	12384	58789
174	12429	58596
175	12476	58411
176	12533	58275
177	12590	58143
178	12637	57964
179	12688	57804
180	12736	57632
181	12796	57514
182	12849	57367
183	12898	57204
184	12947	57037
185	12991	56854
186	13054	56755
187	13105	56603
188	13156	56454
189	13205	56295
190	13249	56121
191	13316	56038
192	13369	55902
193	13418	55747
194	13463	55581
195	13511	55424
196	13572	55321
197	13628	55203
198	13674	55042
199	13723	54893
200	13770	54738
201	13826	54622
202	13882	54505
203	13930	54355
204	13977	54205
205	14027	54067
206	14088	53971
207	14137	53831
208	14183	53680
209	14232	53542
210	14293	53449
211	14344	53316
212	14393	53179
213	14440	53036
214	14494	52920
215	14554	52828
216	14632	52797
217	14730	52841
218	14792	52752
219	14836	52601
220	14881	52455
221	14927	52314
222	14985	52212
223	15136	52438
224	15196	52344
225	15339	52533
226	15395	52425
227	15452	52322
228	15511	52225
229	15560	52092
230	15622	52007
231	15743	52116
232	15991	52640
233	16100	52704
234	16152	52581
235	16198	52438
236	16256	52336
237	16378	52438
238	16454	52393
239	16522	52321
240	16574	52199
241	16622	52066
242	16669	51928
243	16728	51832
244	16785	51727
245	16832	51590
246	16883	51470
247	16930	51338
248	16997	51265
249	17045	51137
250	17094	51011
251	17138	50871
252	17188	50750
253	17251	50668
254	17307	50564
255	17355	50438
256	17400	50306
257	17449	50185
258	17526	50144
259	17614	50134
260	17743	50237
261	17824	50207
262	17874	50089
263	17926	49978
264	18008	49947
265	18106	49962
266	18154	49840
267	18203	49721
268	18264	49633
269	18318	49528
270	18364	49402
271	18416	49292
272	18468	49182
273	18524	49083
274	18582	48990
275	18631	48872
276	18682	48762
277	18728	48640
278	18790	48560
279	18843	48453
280	18898	48356
281	18947	48242
282	18994	48122
283	19048	48024
284	19105	47931
285	19149	47806
286	19195	47686
287	19239	47563
288	19303	47490
289	19358	47394
290	19410	47292
291	19454	47169
292	19505	47067
293	19565	46983
294	19618	46883
295	19663	46767
296	19714	46663
297	19768	46568
298	19836	46507
299	19888	46405
300	19936	46297
301	20015	46262
302	20060	46146
303	20103	46026
304	20151	45919
305	20210	45835
306	20260	45734
307	20310	45632
308	20352	45513
309	20404	45417
310	20471	45353
311	20518	45246
312	20566	45140
313	20615	45038
314	20660	44927
315	20719	44849
316	20772	44755
317	20817	44646
318	20865	44543
319	20914	44442
320	20975	44368
321	21029	44279
322	21072	44168
323	21121	44068
324	21167	43962
325	21235	43903
326	21286	43810
327	21343	43727
328	21385	43615
329	21433	43516
330	21489	43432
331	21547	43354
332	21603	43271
333	21650	43171
334	21699	43074
335	21776	43033
336	21833	42953
337	21885	42864
338	21959	42816
339	22044	42792
340	22095	42700
341	22144	42604
342	22300	42715
343	22358	42636
344	22405	42537
345	22454	42443
346	22521	42382
347	22579	42303
348	22655	42260
349	22745	42241
350	22822	42199
351	22915	42184
352	22999	42154
353	23067	42095
354	23120	42006
355	23169	41914
356	23224	41830
357	23288	41763
358	23335	41666
359	23382	41569
360	23429	41472
361	23498	41413
362	23548	41322
363	23610	41254
364	23675	41189
365	23749	41140
366	23810	41067
367	23868	40991
368	23916	40897
369	23967	40809
370	24030	40741
371	24089	40667
372	24150	40595
373	24207	40518
374	24266	40443
375	24324	40368
376	24369	40271
377	24419	40182
378	24466	40089
379	24523	40012
380	24582	39939
381	24631	39848
382	24677	39754
383	24729	39669
384	24784	39591
385	24837	39508
386	24882	39412
387	24928	39320
388	24973	39226
389	25039	39164
390	25100	39095
391	25156	39017
392	25217	38949
393	25364	39012
394	25409	38918
395	25458	38830
396	25509	38746
397	25557	38656
398	25618	38588
399	25723	38585
400	25792	38527
401	25893	38517
402	26065	38613
403	26253	38730
404	26390	38771
405	26450	38697
406	26509	38624
407	26563	38542
408	26611	38453
409	26660	38365
410	26708	38275
411	26823	38282
412	26871	38193
413	26921	38105
414	26984	38038
415	27037	37956
416	27088	37872
417	27151	37803
418	27210	37731
419	27259	37644
420	27304	37551
421	27353	37465
422	27414	37394
423	27472	37320
424	27520	37233
425	27566	37143
426	27613	37054
427	27671	36981
428	27723	36900
429	27773	36815
430	27820	36728
431	27874	36650
432	27938	36585
433	27990	36503
434	28039	36419
435	28091	36339
436	28159	36279
437	28210	36197
438	28257	36109
